Tabulka výsledků,Přiřazený link,,Správný link,Poznámka
http://psh.ntkcz.cz/skos/PSH10051,http://cs.wikipedia.org/wiki/Parašutismus,1,,
http://psh.ntkcz.cz/skos/PSH6644,http://cs.wikipedia.org/wiki/Obecná lingvistika,1,,
http://psh.ntkcz.cz/skos/PSH201,http://cs.wikipedia.org/wiki/Architráv,1,,
http://psh.ntkcz.cz/skos/PSH5839,http://cs.wikipedia.org/wiki/Stopové prvky,1,,
http://psh.ntkcz.cz/skos/PSH13360,http://cs.wikipedia.org/wiki/Potomstvo,1,,
http://psh.ntkcz.cz/skos/PSH13271,http://cs.wikipedia.org/wiki/Ochrana rostlin,0,,na wiki neexistuje článek s touto tematikou
http://psh.ntkcz.cz/skos/PSH6006,http://cs.wikipedia.org/wiki/Deriváty uhlovodíků,1,,
http://psh.ntkcz.cz/skos/PSH668,http://cs.wikipedia.org/wiki/Klouby,1,,
http://psh.ntkcz.cz/skos/PSH8565,http://cs.wikipedia.org/wiki/Konfrontace,1,,
http://psh.ntkcz.cz/skos/PSH5042,http://cs.wikipedia.org/wiki/Historie,1,,
http://psh.ntkcz.cz/skos/PSH10041,http://cs.wikipedia.org/wiki/Box,1,,
http://psh.ntkcz.cz/skos/PSH7340,http://cs.wikipedia.org/wiki/Deskriptivní geometrie,1,,
http://psh.ntkcz.cz/skos/PSH11796,http://cs.wikipedia.org/wiki/Sítotisk,1,,
http://psh.ntkcz.cz/skos/PSH4840,http://cs.wikipedia.org/wiki/Syenit,1,,
http://psh.ntkcz.cz/skos/PSH7594,http://cs.wikipedia.org/wiki/Deterministický chaos,1,,
http://psh.ntkcz.cz/skos/PSH7045,http://cs.wikipedia.org/wiki/Skandinávská literatura,1,,
http://psh.ntkcz.cz/skos/PSH7177,http://cs.wikipedia.org/wiki/Teorie čísel,1,,
http://psh.ntkcz.cz/skos/PSH7627,http://cs.wikipedia.org/wiki/Diferenční rovnice,1,,
http://psh.ntkcz.cz/skos/PSH958,http://cs.wikipedia.org/wiki/Biofyzika,1,,
http://psh.ntkcz.cz/skos/PSH8048,http://cs.wikipedia.org/wiki/Prvky,1,,
http://psh.ntkcz.cz/skos/PSH10815,http://cs.wikipedia.org/wiki/Hydraulika,1,,
http://psh.ntkcz.cz/skos/PSH7769,http://cs.wikipedia.org/wiki/Náboženství,1,,
http://psh.ntkcz.cz/skos/PSH126,http://cs.wikipedia.org/wiki/Budovy,1,http://cs.wikipedia.org/wiki/Budova,
http://psh.ntkcz.cz/skos/PSH8460,http://cs.wikipedia.org/wiki/Světový názor,1,,
http://psh.ntkcz.cz/skos/PSH9419,http://cs.wikipedia.org/wiki/Vlohy,1,,
http://psh.ntkcz.cz/skos/PSH6885,http://cs.wikipedia.org/wiki/Souvětí,1,,
http://psh.ntkcz.cz/skos/PSH1222,http://cs.wikipedia.org/wiki/Podnikání,1,,
http://psh.ntkcz.cz/skos/PSH10080,http://cs.wikipedia.org/wiki/Syntetická vlákna,1,,
http://psh.ntkcz.cz/skos/PSH5059,http://cs.wikipedia.org/wiki/Novověk,1,,
http://psh.ntkcz.cz/skos/PSH718,http://cs.wikipedia.org/wiki/Krev,1,,
http://psh.ntkcz.cz/skos/PSH345,http://cs.wikipedia.org/wiki/Nadir,1,,
http://psh.ntkcz.cz/skos/PSH12391,http://cs.wikipedia.org/wiki/Procesory,1,,
http://psh.ntkcz.cz/skos/PSH3549,http://cs.wikipedia.org/wiki/Kvantová mechanika,1,,
http://psh.ntkcz.cz/skos/PSH7857,http://cs.wikipedia.org/wiki/Křížové výpravy,1,,
http://psh.ntkcz.cz/skos/PSH9946,http://cs.wikipedia.org/wiki/Kulečník,1,,
